id,aux_sensor_id,timestamp,value
1,6,2025-04-11 17:58:27.130108,35
2,6,2025-04-11 18:03:30.249901,35
3,6,2025-04-11 18:08:33.328881,5001
4,6,2025-04-11 18:13:36.423711,5001
5,6,2025-04-11 18:18:39.605414,5001
6,6,2025-04-11 18:23:42.802574,132
